date,count_rate
2013-12-13,103.317
2013-12-14,103.233
2013-12-15,100.831
2013-12-16,100.876
2013-12-17,102.279
2013-12-18,102.725
2013-12-19,102.622
2013-12-20,102.389
2013-12-21,103.173
2013-12-22,103.200
2013-12-23,103.361
2013-12-24,103.470
2013-12-25,102.593
2013-12-26,103.330
2013-12-27,103.280
2013-12-28,104.098
2013-12-29,104.236
2013-12-30,104.036
2013-12-31,104.164
2014-01-01,103.707
2014-01-02,102.540
2014-01-03,102.867
2014-01-04,103.564
2014-01-05,103.934
2014-01-06,104.157
2014-01-07,104.407
2014-01-08,103.480
2014-01-09,103.751
2014-01-10,102.220
2014-01-11,102.515
2014-01-12,102.273
2014-01-13,102.240
2014-01-14,103.681
2014-01-15,104.099
2014-01-16,104.177
2014-01-17,104.251
2014-01-18,104.560
2014-01-19,104.050
2014-01-20,104.070
2014-01-21,103.871
2014-01-22,103.342
2014-01-23,103.352
2014-01-24,103.150
2014-01-25,102.828
2014-01-26,102.720
2014-01-27,103.286
2014-01-28,102.689
2014-01-29,102.749
2014-01-30,103.532
2014-01-31,103.370
2014-02-01,103.568
2014-02-02,103.328
2014-02-03,102.951
2014-02-04,102.069
2014-02-05,102.233
2014-02-06,101.690
2014-02-07,102.449
2014-02-08,102.406
2014-02-09,102.797
2014-02-10,103.450
2014-02-11,103.069
2014-02-12,102.075
2014-02-13,101.702
2014-02-14,102.521
2014-02-15,102.219
2014-02-17,100.540
2014-02-18,101.351
2014-02-19,101.696
2014-02-20,100.187
2014-02-25,100.380
2014-02-26,101.172
2014-02-27,101.737
2014-03-04,100.315
2014-03-05,100.619
2014-03-06,101.143
2014-03-07,101.479
2014-03-08,102.508
2014-03-09,102.905
2014-03-10,103.542
2014-03-11,103.548
2014-03-12,103.224
2014-03-13,102.548
2014-03-14,102.153
2014-03-15,102.597
2014-03-16,103.010
2014-03-17,103.282
2014-03-18,103.681
2014-03-19,103.903
2014-03-20,103.518
2014-03-21,102.762
2014-03-22,102.931
2014-03-23,102.408
2014-03-24,102.401
2014-03-25,102.671
2014-03-26,101.839
2014-03-27,101.586
2014-03-28,101.987
2014-03-29,102.346
2014-03-30,103.314
2014-03-31,103.710
2014-04-01,104.027
2014-04-02,104.029
2014-04-03,104.215
2014-04-04,103.995
2014-04-05,103.431
2014-04-06,101.926
2014-04-07,102.054
2014-04-08,102.162
2014-04-09,101.951
2014-04-10,101.975
2014-04-11,102.083
2014-04-12,102.413
2014-04-13,102.867
2014-04-14,103.056
2014-04-15,103.712
2014-04-16,103.981
2014-04-17,103.810
2014-04-18,102.398
2014-04-19,100.518
2014-04-20,100.842
2014-04-21,100.891
2014-04-22,101.526
2014-04-23,102.340
2014-04-24,101.874
2014-04-25,102.282
2014-04-26,102.517
2014-04-27,102.810
2014-04-28,103.749
2014-04-29,104.112
2014-04-30,104.023
2014-05-01,104.901
2014-05-02,105.086
2014-05-03,104.827
2014-05-04,103.974
2014-05-05,103.647
2014-05-06,103.748
2014-05-07,103.631
2014-05-08,104.005
2014-05-09,103.665
2014-05-10,103.592
2014-05-11,104.080
2014-05-12,104.871
2014-05-13,104.960
2014-05-14,104.928
2014-05-15,104.873
2014-05-16,103.406
2014-05-17,103.373
2014-05-18,103.574
2014-05-19,103.356
2014-05-20,103.575
2014-05-21,103.489
2014-05-22,103.362
2014-05-23,101.801
2014-05-24,101.644
2014-05-25,102.176
2014-05-26,102.397
2014-05-27,103.140
2014-05-28,103.022
2014-05-29,103.258
2014-05-30,102.318
2014-05-31,101.494
2014-06-01,102.525
2014-06-02,103.144
2014-06-03,103.649
2014-06-04,103.555
2014-06-05,103.758
2014-06-06,104.024
2014-06-07,103.219
2014-06-08,101.199
2014-06-09,101.787
2014-06-10,103.215
2014-06-11,103.262
2014-06-12,103.309
2014-06-13,103.655
2014-06-14,103.592
2014-06-15,103.114
2014-06-16,102.304
2014-06-17,102.230
2014-06-18,100.717
2014-06-21,100.117
2014-06-22,100.545
2014-06-23,100.719
2014-06-24,101.384
2014-06-25,101.584
2014-06-26,101.631
2014-06-27,101.760
2014-06-28,101.648
2014-06-29,101.521
2014-06-30,101.682
2014-07-01,101.839
2014-07-02,102.186
2014-07-03,102.466
2014-07-04,102.533
2014-07-05,102.514
2014-07-06,102.601
2014-07-07,102.785
2014-07-08,102.374
2014-07-09,102.627
2014-07-10,102.086
2014-07-11,102.428
2014-07-12,102.830
2014-07-13,102.769
2014-07-14,101.708
2014-07-15,101.162
2014-07-16,101.394
2014-07-17,101.489
2014-07-18,102.121
2014-07-19,102.557
2014-07-20,102.810
2014-07-21,103.310
2014-07-22,103.681
2014-07-23,104.060
2014-07-24,104.151
2014-07-25,104.021
2014-07-26,104.000
2014-07-27,103.866
2014-07-28,103.651
2014-07-29,103.850
2014-07-30,104.085
2014-07-31,103.940
2014-08-01,104.219
2014-08-02,103.940
2014-08-03,103.558
2014-08-04,103.278
2014-08-05,103.117
2014-08-06,103.674
2014-08-07,103.331
2014-08-08,102.938
2014-08-09,103.156
2014-08-10,103.702
2014-08-11,103.141
2014-08-12,102.896
2014-08-13,102.598
2014-08-14,102.868
2014-08-15,102.971
2014-08-16,103.677
2014-08-17,103.869
2014-08-18,103.646
2014-08-19,103.823
2014-08-20,103.616
2014-08-21,104.231
2014-08-22,104.707
2014-08-23,104.656
2014-08-24,104.701
